CD_setor,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00008,V00009,V00010,V00011,V00012,V00013,V00014,V00015,V00016,V00017,V00018,V00019,V00020,V00021,V00022,V00023,V00024,V00025,V00026,V00027,V00028,V00029,V00030,V00031,V00032,V00033,V00034,V00035,V00036,V00037,V00038,V00039,V00040,V00041,V00042,V00043,V00044,V00045,V00046,V00047,V00048,V00049,V00050,V00051,V00052,V00053,V00054,V00055,V00056,V00057,V00058,V00059,V00060,V00061,V00062,V00063,V00064,V00065,V00066,V00067,V00068,V00069,V00070,V00071,V00072,V00073,V00074,V00075,V00076,V00077,V00078,V00079,V00080,V00081,V00082,V00083,V00084,V00085,V00086,V00087,V00088,V00089
431440705130093,89,0,0,89,233,0,0,37,0,0,122,0,0,111,0,0,15,29,27,13,3,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,37,122,111,15,29,27,13,3,X,0,0,0,0,233,0,0,37,0,0
431440705130094,206,0,0,206,492,0,0,70,0,0,225,0,0,267,0,0,53,67,43,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,70,225,267,53,67,43,39,4,0,0,0,0,0,49,443,0,11,59,0
431440705130095,59,0,0,59,190,0,0,33,0,0,86,0,0,104,0,0,14,10,11,7,13,X,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,33,86,104,14,10,11,7,13,X,X,X,X,0,190,0,0,33,0,0
431440705130096,305,0,0,305,844,0,0,109,0,0,415,0,0,429,0,0,59,86,82,49,15,9,X,X,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,109,415,429,59,86,82,49,15,9,X,X,3,0,829,0,15,109,0,0
431440705130097,235,0,0,235,615,0,0,77,0,0,288,0,0,327,0,0,40,68,80,39,6,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,77,288,327,40,68,80,39,6,X,X,0,0,0,615,0,0,77,0,0
431440705130099,255,0,0,255,650,0,0,76,0,0,310,0,0,340,0,0,45,94,67,33,13,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,76,310,340,45,94,67,33,13,X,X,0,0,0,646,0,4,76,0,0
431440705130100,61,0,0,61,166,0,0,24,0,0,78,0,0,88,0,0,11,18,20,6,4,0,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,24,78,88,11,18,20,6,4,0,X,X,0,0,166,0,0,24,0,0
431440705130101,206,X,0,206,591,X,0,83,0,0,281,X,0,310,X,0,36,56,50,38,19,4,X,X,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,83,281,310,36,56,50,38,19,4,X,X,0,0,591,0,0,83,0,0
431440705130102,64,0,0,64,155,0,0,14,0,0,73,0,0,82,0,0,13,24,18,7,X,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,14,73,82,13,24,18,7,X,0,X,0,0,0,155,0,0,14,0,0
431440705130103,407,0,0,407,958,0,0,182,0,0,445,0,0,513,0,0,94,160,94,42,12,3,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,182,445,513,94,160,94,42,12,3,0,X,0,0,226,0,732,41,0,141
431440705130104,170,0,0,170,408,0,0,62,0,0,175,0,0,233,0,0,47,56,33,25,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,62,175,233,47,56,33,25,4,5,0,0,0,0,0,0,408,0,0,62
431440705130105,137,0,0,137,335,0,0,48,0,0,155,0,0,180,0,0,35,49,28,13,8,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,48,155,180,35,49,28,13,8,X,X,0,0,0,0,0,335,0,0,48
431440705130106,276,0,0,276,557,0,0,91,0,0,266,0,0,291,0,0,96,101,60,17,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,91,266,291,96,101,60,17,X,X,0,0,0,0,X,0,556,0,0,91
431440705130107,218,0,0,218,453,0,0,78,0,0,201,0,0,252,0,0,66,87,49,14,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,78,201,252,66,87,49,14,X,0,0,0,0,0,0,0,453,0,0,78
431440705130108,306,0,0,306,703,0,0,111,0,0,321,0,0,382,0,0,76,98,102,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,301,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,111,321,382,76,98,102,25,5,0,0,0,0,0,X,693,8,0,110,X
431440705130109,352,0,0,352,802,0,0,134,0,0,357,0,0,445,0,0,88,119,108,34,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,348,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,134,357,445,88,119,108,34,X,X,0,0,0,0,3,794,5,X,133,0
431440705130110,264,0,0,264,688,0,0,125,0,0,321,0,0,367,0,0,53,65,88,50,7,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,125,321,367,53,65,88,50,7,X,0,0,0,0,9,679,0,X,124,0
431440705130111,191,0,0,191,463,0,0,78,0,0,223,0,0,240,0,0,38,62,66,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,78,223,240,38,62,66,22,3,0,0,0,0,0,X,461,0,0,78,0
431440705130112,194,0,0,194,439,0,0,67,0,0,208,0,0,231,0,0,49,73,46,24,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,67,208,231,49,73,46,24,X,0,0,0,0,0,37,402,0,6,61,0
431440705130114,219,0,0,219,593,0,0,105,0,0,258,0,0,335,0,0,46,63,51,36,16,5,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,105,258,335,46,63,51,36,16,5,X,0,0,0,0,0,593,0,0,105
431440705130115,206,0,0,206,539,0,0,89,0,0,226,0,0,313,0,0,52,59,42,31,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,89,226,313,52,59,42,31,16,3,3,0,0,0,0,7,532,0,3,86
431440705130116,103,0,0,103,237,0,0,46,0,0,115,0,0,122,0,0,27,35,26,14,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,46,115,122,27,35,26,14,0,X,0,0,0,0,0,0,237,0,0,46
431440705130117,68,0,0,68,186,0,0,40,0,0,95,0,0,91,0,0,17,15,18,9,7,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,40,95,91,17,15,18,9,7,0,X,0,0,0,186,0,0,40,0,0
431440705130118,395,X,0,395,1017,X,0,130,0,0,489,X,0,528,0,0,96,109,103,56,20,8,X,X,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,3,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,130,489,528,96,109,103,56,20,8,X,X,0,0,1011,0,6,128,0,X
431440705130119,164,0,0,164,413,0,0,47,0,0,203,0,0,210,0,0,45,45,41,19,8,5,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,47,203,210,45,45,41,19,8,5,0,0,X,0,410,0,3,47,0,0
431440705130120,193,0,13,193,533,0,13,34,0,0,255,0,13,278,0,0,24,59,64,36,7,X,0,X,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,192,0,X,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,533,34,255,278,24,59,64,36,7,X,0,X,0,0,529,0,4,33,0,X
431440705130121,51,0,0,51,137,0,0,21,0,0,70,0,0,67,0,0,9,14,15,11,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,21,70,67,9,14,15,11,X,X,0,0,0,0,137,0,0,21,0,0
431440705130122,114,0,0,114,277,0,0,28,0,0,128,0,0,149,0,0,33,36,22,15,5,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,28,128,149,33,36,22,15,5,X,X,X,0,0,265,0,12,27,0,X
431440705130123,415,0,0,415,1146,0,0,198,0,0,534,0,0,612,0,0,71,115,116,81,20,11,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,198,534,612,71,115,116,81,20,11,X,0,0,0,1146,0,0,198,0,0
